class,precision,recall,f1_score,support
9,1.0,1.0,1.0,795
10,0.916,0.9832,0.9484,1009
11,0.8857,0.8946,0.8901,892
12,0.7739,0.609,0.6816,399
13,1.0,0.999,0.9995,971
14,0.5574,0.863,0.6773,1029
15,0.9714,0.9784,0.9749,139
16,0.9627,0.8144,0.8824,1013
17,0.9847,0.9797,0.9822,592
18,0.9623,0.9714,0.9668,105
19,0.9959,0.9603,0.9778,252
20,0.7238,0.72,0.7219,968
21,1.0,1.0,1.0,182
22,0.8687,0.99,0.9254,1002
23,0.913,0.9867,0.9485,979
24,0.1111,0.0016,0.0032,607
25,0.9412,1.0,0.9697,96
macro,0.8888036930111414,0.8931352842250775,0.8864829357513361,0
fold 1,,,,
0,0.9848,0.9944,0.9896,10000
1,0.6213,0.706,0.661,602
2,0.999,0.9929,0.9959,988
3,0.8883,0.7991,0.8413,846
